UNNAMED:_0_LEVEL_0_PLAYER,PASSING_ATT,PASSING_CMP,PASSING_YDS,PASSING_TDS,PASSING_INTS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,PLAYER,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FANTASY_PTS
Elijah Moore BUF,,,,,,0.0,1.3,0.0,0.0,23.4,WR,2025-08-14 15:04:30,14.5,159.6,1.2,,,,,,,,,,,,,,23.29
Jalin Hyatt NYG,,,,,,0.0,0.0,0.0,0.0,22.8,WR,2025-08-14 15:04:30,13.1,174.0,0.9,,,,,,,,,,,,,,22.800000000000004
Chris Brooks GB,,,,,,30.9,139.4,0.9,0.0,22.9,RB,2025-08-14 15:04:27,5.0,32.1,0.0,,,,,,,,,,,,,,22.550000000000004
Jalen Milroe SEA,14.3,9.0,120.5,0.8,0.8,24.0,105.8,1.0,0.3,23.0,QB,2025-08-14 15:04:24,,,,,,,,,,,,,,,,,22.4
Clyde Edwards-Helaire NO,,,,,,41.5,126.7,0.6,0.1,22.1,RB,2025-08-14 15:04:27,5.7,42.7,0.3,,,,,,,,,,,,,,22.140000000000004
Isaac TeSlaa DET,,,,,,0.0,0.0,0.0,0.0,22.3,WR,2025-08-14 15:04:30,10.7,155.2,1.1,,,,,,,,,,,,,,22.12
Adam Trautman DEN,,,,,,,,,0.0,21.8,TE,2025-08-14 15:04:33,12.6,136.7,1.4,,,,,,,,,,,,,,22.07
Malachi Corley NYJ,,,,,,2.3,13.5,0.1,0.1,21.9,WR,2025-08-14 15:04:30,13.8,147.0,0.9,,,,,,,,,,,,,,21.850000000000005
Xavier Hutchinson HOU,,,,,,0.0,0.0,0.0,0.0,21.0,WR,2025-08-14 15:04:30,14.0,152.1,1.0,,,,,,,,,,,,,,21.21
Gunnar Helm TEN,,,,,,,,,0.4,20.9,TE,2025-08-14 15:04:33,16.4,163.3,0.9,,,,,,,,,,,,,,20.930000000000003
Luke Schoonmaker DAL,,,,,,,,,0.0,20.1,TE,2025-08-14 15:04:33,14.9,132.5,1.2,,,,,,,,,,,,,,20.45
Kimani Vidal LAC,,,,,,35.4,105.4,0.6,0.0,20.0,RB,2025-08-14 15:04:27,5.4,41.2,0.3,,,,,,,,,,,,,,20.060000000000002
Josh Whyle TEN,,,,,,,,,0.0,19.5,TE,2025-08-14 15:04:33,16.7,152.9,0.7,,,,,,,,,,,,,,19.490000000000002
Sincere McCormick LV,,,,,,23.7,112.9,0.8,0.1,19.2,RB,2025-08-14 15:04:27,4.3,29.9,0.1,,,,,,,,,,,,,,19.480000000000008
Jake Bobo SEA,,,,,,0.0,0.0,0.0,0.0,19.0,WR,2025-08-14 15:04:30,11.8,138.3,0.9,,,,,,,,,,,,,,19.230000000000004
Michael Gallup WAS,,,,,,0.0,0.0,0.0,0.0,19.2,WR,2025-08-14 15:04:30,11.6,130.9,1.0,,,,,,,,,,,,,,19.090000000000003
Charlie Woerner ATL,,,,,,,,,0.0,19.2,TE,2025-08-14 15:04:33,14.0,130.9,1.0,,,,,,,,,,,,,,19.090000000000003
Emari Demercado ARI,,,,,,18.7,106.3,0.4,0.0,19.1,RB,2025-08-14 15:04:27,8.1,54.1,0.1,,,,,,,,,,,,,,19.040000000000003
