UNNAMED:_0_LEVEL_0_PLAYER,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,MISC_FPTS,POSITION,SCRAPE_DATE
Ryan Flournoy DAL,1.9,20.7,0.1,0.0,0.0,0.0,0.0,2.9,WR,2025-08-14 15:04:30
Anthony Gould IND,1.7,22.4,0.0,0.0,2.5,0.0,0.0,2.7,WR,2025-08-14 15:04:30
Laviska Shenault Jr. BUF,1.8,19.5,0.1,0.0,0.0,0.0,0.0,2.7,WR,2025-08-14 15:04:30
Ashton Dulin IND,1.6,19.6,0.1,0.0,1.7,0.0,0.0,2.6,WR,2025-08-14 15:04:30
Trent Sherfield Sr. DEN,1.8,20.9,0.1,0.0,0.0,0.0,0.0,2.6,WR,2025-08-14 15:04:30
Isaiah Williams CIN,1.6,18.5,0.1,0.0,0.0,0.0,0.0,2.5,WR,2025-08-14 15:04:30
Steven Sims Jr. SEA,1.7,17.9,0.1,0.0,0.0,0.0,0.0,2.5,WR,2025-08-14 15:04:30
Tank Dell HOU,2.0,24.0,0.0,0.0,0.0,0.0,0.0,2.4,WR,2025-08-14 15:04:30
Isaiah Neyor GB,2.0,24.0,0.0,0.0,0.0,0.0,0.0,2.4,WR,2025-08-14 15:04:30
Miles Boykin CHI,1.6,17.9,0.1,0.0,0.0,0.0,0.0,2.3,WR,2025-08-14 15:04:30
Zach Pascal NYG,1.5,17.8,0.1,0.0,0.0,0.0,0.0,2.3,WR,2025-08-14 15:04:30
Tez Johnson TB,1.6,19.7,0.1,0.0,0.0,0.0,0.0,2.3,WR,2025-08-14 15:04:30
Jimmy Horn Jr. CAR,1.5,18.0,0.0,0.0,0.0,0.0,0.0,1.8,WR,2025-08-14 15:04:30
Tyquan Thornton KC,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.6,WR,2025-08-14 15:04:30
Trey Palmer TB,0.9,9.8,0.1,0.0,0.0,0.0,0.0,1.5,WR,2025-08-14 15:04:30
Jason Brownlee KC,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.4,WR,2025-08-14 15:04:30
Nikko Remigio KC,0.9,11.6,0.0,0.0,0.0,0.0,0.0,1.4,WR,2025-08-14 15:04:30
Braxton Berrios HOU,1.0,10.5,0.0,0.0,2.5,0.0,0.0,1.3,WR,2025-08-14 15:04:30
Chris Moore WAS,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.3,WR,2025-08-14 15:04:30
LaJohntay Wester BAL,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.2,WR,2025-08-14 15:04:30
